index,class_name,severity
0,Speech,NONE
1,"Child speech, kid speaking",NONE
2,Conversation,NONE
3,"Narration, monologue",NONE
4,Babbling,NONE
5,Speech synthesizer,NONE
6,Shout,NONE
7,Bellow,NONE
8,Whoop,NONE
9,Yell,NONE
10,Children shouting,NONE
11,Screaming,NONE
12,Whispering,NONE
13,Laughter,NONE
14,Baby laughter,NONE
15,Giggle,NONE
16,Snicker,NONE
17,Belly laugh,NONE
18,"Chuckle, chortle",NONE
19,"Crying, sobbing",NONE
20,"Baby cry, infant cry",NONE
21,Whimper,NONE
22,"Wail, moan",NONE
23,Sigh,NONE
24,Singing,NONE
25,Choir,NONE
26,Yodeling,NONE
27,Chant,NONE
28,Mantra,NONE
29,Child singing,NONE
30,Synthetic singing,NONE
31,Rapping,NONE
32,Humming,NONE
33,Groan,NONE
34,Grunt,NONE
35,Whistling,NONE
36,Breathing,NONE
37,Wheeze,NONE
38,Snoring,NONE
39,Gasp,NONE
40,Pant,NONE
41,Snort,NONE
42,Cough,NONE
43,Throat clearing,NONE
44,Sneeze,NONE
45,Sniff,NONE
46,Run,NONE
47,Shuffle,NONE
48,"Walk, footsteps",NONE
49,"Chewing, mastication",NONE
50,Biting,NONE
51,Gargling,NONE
52,Stomach rumble,NONE
53,"Burping, eructation",NONE
54,Hiccup,NONE
55,Fart,NONE
56,Hands,NONE
57,Finger snapping,NONE
58,Clapping,NONE
59,"Heart sounds, heartbeat",NONE
60,Heart murmur,NONE
61,Cheering,NONE
62,Applause,NONE
63,Chatter,NONE
64,Crowd,NONE
65,"Hubbub, speech noise, speech babble",NONE
66,Children playing,NONE
67,Animal,NONE
68,"Domestic animals, pets",NONE
69,Dog,NONE
70,Bark,NONE
71,Yip,NONE
72,Howl,NONE
73,Bow-wow,NONE
74,Growling,NONE
75,Whimper (dog),NONE
76,Cat,NONE
77,Purr,NONE
78,Meow,NONE
79,Hiss,NONE
80,Caterwaul,NONE
81,"Livestock, farm animals, working animals",NONE
82,Horse,NONE
83,Clip-clop,NONE
84,"Neigh, whinny",NONE
85,"Cattle, bovinae",NONE
86,Moo,NONE
87,Cowbell,NONE
88,Pig,NONE
89,Oink,NONE
90,Goat,NONE
91,Bleat,NONE
92,Sheep,NONE
93,Fowl,NONE
94,"Chicken, rooster",NONE
95,Cluck,NONE
96,"Crowing, cock-a-doodle-doo",NONE
97,Turkey,NONE
98,Gobble,NONE
99,Duck,NONE
100,Quack,NONE
101,Goose,NONE
102,Honk,NONE
103,Wild animals,NONE
104,"Roaring cats (lions, tigers)",NONE
105,Roar,NONE
106,Bird,NONE
107,"Bird vocalization, bird call, bird song",NONE
108,"Chirp, tweet",NONE
109,Squawk,NONE
110,"Pigeon, dove",NONE
111,Coo,NONE
112,Crow,NONE
113,Caw,NONE
114,Owl,NONE
115,Hoot,NONE
116,"Bird flight, flapping wings",NONE
117,"Canidae, dogs, wolves",NONE
118,"Rodents, rats, mice",NONE
119,Mouse,NONE
120,Patter,NONE
121,Insect,NONE
122,Cricket,NONE
123,Mosquito,NONE
124,"Fly, housefly",NONE
125,Buzz,NONE
126,"Bee, wasp, etc.",NONE
127,Frog,NONE
128,Croak,NONE
129,Snake,NONE
130,Rattle,NONE
131,Whale vocalization,NONE
132,Music,NONE
133,Musical instrument,NONE
134,Plucked string instrument,NONE
135,Guitar,NONE
136,Electric guitar,NONE
137,Bass guitar,NONE
138,Acoustic guitar,NONE
139,"Steel guitar, slide guitar",NONE
140,Tapping (guitar technique),NONE
141,Strum,NONE
142,Banjo,NONE
143,Sitar,NONE
144,Mandolin,NONE
145,Zither,NONE
146,Ukulele,NONE
147,Keyboard (musical),NONE
148,Piano,NONE
149,Electric piano,NONE
150,Organ,NONE
151,Electronic organ,NONE
152,Hammond organ,NONE
