idx,filename,filepath,category
0,alarms01.wav,fold-1\alarms01.wav,alarms
1,alarms02.wav,fold-1\alarms02.wav,alarms
2,alarms03.wav,fold-1\alarms03.wav,alarms
3,alarms04.wav,fold-1\alarms04.wav,alarms
4,alarms05.wav,fold-1\alarms05.wav,alarms
5,alarms06.wav,fold-1\alarms06.wav,alarms
6,rain01.wav,fold-1\rain01.wav,rain
7,rain02.wav,fold-1\rain02.wav,rain
8,rain03.wav,fold-1\rain03.wav,rain
9,rain04.wav,fold-1\rain04.wav,rain
10,rain05.wav,fold-1\rain05.wav,rain
11,rain06.wav,fold-1\rain06.wav,rain
12,thunders01.wav,fold-1\thunders01.wav,thunders
13,thunders02.wav,fold-1\thunders02.wav,thunders
14,thunders03.wav,fold-1\thunders03.wav,thunders
15,thunders04.wav,fold-1\thunders04.wav,thunders
16,thunders05.wav,fold-1\thunders05.wav,thunders
17,thunders06.wav,fold-1\thunders06.wav,thunders
18,alarms07.wav,fold-2\alarms07.wav,alarms
19,alarms08.wav,fold-2\alarms08.wav,alarms
20,alarms09.wav,fold-2\alarms09.wav,alarms
21,alarms10.wav,fold-2\alarms10.wav,alarms
22,alarms11.wav,fold-2\alarms11.wav,alarms
23,alarms12.wav,fold-2\alarms12.wav,alarms
24,rain07.wav,fold-2\rain07.wav,rain
25,rain08.wav,fold-2\rain08.wav,rain
26,rain09.wav,fold-2\rain09.wav,rain
27,rain10.wav,fold-2\rain10.wav,rain
28,rain11.wav,fold-2\rain11.wav,rain
29,rain12.wav,fold-2\rain12.wav,rain
30,thunders07.wav,fold-2\thunders07.wav,thunders
31,thunders08.wav,fold-2\thunders08.wav,thunders
32,thunders09.wav,fold-2\thunders09.wav,thunders
33,thunders10.wav,fold-2\thunders10.wav,thunders
34,thunders11.wav,fold-2\thunders11.wav,thunders
35,thunders12.wav,fold-2\thunders12.wav,thunders
36,alarms13.wav,fold-3\alarms13.wav,alarms
37,alarms14.wav,fold-3\alarms14.wav,alarms
38,alarms15.wav,fold-3\alarms15.wav,alarms
39,alarms16.wav,fold-3\alarms16.wav,alarms
40,alarms17.wav,fold-3\alarms17.wav,alarms
41,alarms18.wav,fold-3\alarms18.wav,alarms
42,rain13.wav,fold-3\rain13.wav,rain
43,rain14.wav,fold-3\rain14.wav,rain
44,rain15.wav,fold-3\rain15.wav,rain
45,rain16.wav,fold-3\rain16.wav,rain
46,rain17.wav,fold-3\rain17.wav,rain
47,rain18.wav,fold-3\rain18.wav,rain
48,thunders13.wav,fold-3\thunders13.wav,thunders
49,thunders14.wav,fold-3\thunders14.wav,thunders
50,thunders15.wav,fold-3\thunders15.wav,thunders
51,thunders16.wav,fold-3\thunders16.wav,thunders
52,thunders17.wav,fold-3\thunders17.wav,thunders
53,thunders18.wav,fold-3\thunders18.wav,thunders
